Fund_Name,Fund_Category,Period,Overall_Score,Star_Rating,Overall_Rank
FBN Money Market Fund,Cash/Money Market Fund,6-years,4.6,5,1.0
Stanbic IBTC Income Fund,Income fund,6-years,5.0,5,1.0
United Capital Equity Fund,Equity fund,6-years,4.5,5,1.0
AXA Mansard Money Market Fund,Cash/Money Market Fund,6-years,3.55,4,4.0
Abacus Money Market Fund,Cash/Money Market Fund,6-years,3.8499999999999996,4,4.0
Cordros Money Market Fund,Cash/Money Market Fund,6-years,3.9499999999999997,4,4.0
Core Investment Money Market Fund,Cash/Money Market Fund,6-years,3.55,4,4.0
Coronation Money Market Fund,Cash/Money Market Fund,6-years,3.5,4,4.0
EDC Money Market Class B,Cash/Money Market Fund,6-years,4.15,4,4.0
NOVA Prime Money Market Fund,Cash/Money Market Fund,6-years,3.5,4,4.0
PACAM Money Market Fund,Cash/Money Market Fund,6-years,3.5999999999999996,4,4.0
Stanbic IBTC Money Market Fund,Cash/Money Market Fund,6-years,4.5,4,4.0
ValuAlliance Money Market Fund,Cash/Money Market Fund,6-years,4.35,4,4.0
ARM Aggressive Growth Fund,Growth fund,6-years,4.0,4,4.0
United Capital Growthd Fund,Growth fund,6-years,3.5,4,4.0
Zenith Income Fund,Income fund,6-years,4.0,4,4.0
ARM Discovery Fund,Ethical fund,6-years,4.0,4,4.0
Cordros Milestone Fune 2023,Ethical fund,6-years,4.0,4,4.0
Nigeria Energy Sector Fund,Ethical fund,6-years,4.0,4,4.0
Stanbic IBTC Dollar Fund,Ethical fund,6-years,3.5,4,4.0
Vantage Dollar Fund,Ethical fund,6-years,4.0,4,4.0
Women Investment Fund,Ethical fund,6-years,3.5,4,4.0
Legacy USD Bond Fund,Bond fund,6-years,4.0,4,4.0
Nigeria Eurobond Fund,Bond fund,6-years,3.5,4,4.0
 AXA Mansard Money Market Fund ,Cash/Money Market Fund,6-years,2.8000000000000003,3,25.0
AIICO Money Market Fund,Cash/Money Market Fund,6-years,3.1999999999999997,3,25.0
AIICO Money market fund,Cash/Money Market Fund,6-years,2.8,3,25.0
AIICO money market fund,Cash/Money Market Fund,6-years,3.1999999999999997,3,25.0
ARM Money Market Fund,Cash/Money Market Fund,6-years,3.05,3,25.0
Chapel Hill Denham Money Market Fund(Frml NGIF),Cash/Money Market Fund,6-years,2.5999999999999996,3,25.0
Coral Money Market Fund,Cash/Money Market Fund,6-years,3.0,3,25.0
Coral Money Market Fund (FSDH Treasury Bill Fund),Cash/Money Market Fund,6-years,2.75,3,25.0
Coral Money Market Fund(FSDH Treasury Bill Fund),Cash/Money Market Fund,6-years,2.75,3,25.0
Emerging Africa Money Market Fund,Cash/Money Market Fund,6-years,2.65,3,25.0
GDL Money Market Fund,Cash/Money Market Fund,6-years,3.0999999999999996,3,25.0
Greenwich Plus Money Market,Cash/Money Market Fund,6-years,2.8499999999999996,3,25.0
Legacy Money Market Fund,Cash/Money Market Fund,6-years,2.8000000000000003,3,25.0
Norrenberger Money Market Fund,Cash/Money Market Fund,6-years,2.8499999999999996,3,25.0
Stanbic IBTC Money Market Fund**,Cash/Money Market Fund,6-years,3.3,3,25.0
Trustbanc Money Market Fund,Cash/Money Market Fund,6-years,2.9000000000000004,3,25.0
United Capital Money Market Fund,Cash/Money Market Fund,6-years,3.15,3,25.0
Vetiva Money Market Fund,Cash/Money Market Fund,6-years,2.55,3,25.0
Zenith Money Market Fund,Cash/Money Market Fund,6-years,2.8000000000000003,3,25.0
ACAP Canary Growth Fund,Growth fund,6-years,2.5,3,25.0
AIICO Growthd Fund,Growth fund,6-years,2.5,3,25.0
Coral Growth Fund,Growth fund,6-years,3.0,3,25.0
Coronation Growthd Fund,Growth fund,6-years,2.5,3,25.0
PACAM Growthd Fund,Growth fund,6-years,2.5,3,25.0
Stanbic IBTC Growthd Fund,Growth fund,6-years,2.5,3,25.0
Vantage Growthd Fund,Growth fund,6-years,3.0,3,25.0
ACAP Income Fund(Fmrl BGL Nubian),Income fund,6-years,2.5,3,25.0
Anchoria Fixed Income Fund,Income fund,6-years,2.5,3,25.0
CEAT Fixed Income Fund(Frml BGL Sapphire),Income fund,6-years,2.5,3,25.0
Coral Income Fund,Income fund,6-years,3.0,3,25.0
Coronation Fixed Income Fund,Income fund,6-years,3.0,3,25.0
EDC Nigeria Fixed Income Fund,Income fund,6-years,3.0,3,25.0
FBN Fixed Income Fund,Income fund,6-years,2.5,3,25.0
Lead Fixed Income Fund ,Income fund,6-years,3.0,3,25.0
Lotus Halal Fixed Income Fund,Income fund,6-years,2.5,3,25.0
PACAM Fixed Income Fund,Income fund,6-years,2.5,3,25.0
SFS Fixed Income Fund,Income fund,6-years,2.5,3,25.0
Vantage Guaranteed Income Fund,Income fund,6-years,3.0,3,25.0
Vantage Income Fund,Income fund,6-years,2.5,3,25.0
AIICO Balanced Fund,Ethical fund,6-years,2.5,3,25.0
ARM Ethical Fund,Ethical fund,6-years,2.5,3,25.0
Afrinvest Plutus Fund,Ethical fund,6-years,2.5,3,25.0
Cordros Milestone Fune 2028,Ethical fund,6-years,3.0,3,25.0
Coronation Balanced Fund,Ethical fund,6-years,2.5,3,25.0
FBN Balanced Fund,Ethical fund,6-years,3.0,3,25.0
FSDH Treasury Bill Fund,Ethical fund,6-years,3.0,3,25.0
Frontier Fund,Ethical fund,6-years,2.5,3,25.0
Kedari Investment Fund,Ethical fund,6-years,3.0,3,25.0
Lead Balanced Fund ,Ethical fund,6-years,3.0,3,25.0
Lotus Halal Inv. Fund,Ethical fund,6-years,3.0,3,25.0
Nigeria Entertainment Fund,Ethical fund,6-years,2.5,3,25.0
PACAM Balanced Fund,Ethical fund,6-years,2.5,3,25.0
Stanbic IBTC Absolute Fund (Sub Fund),Ethical fund,6-years,2.5,3,25.0
Stanbic IBTC Aggressive Fund (Sub Fund),Ethical fund,6-years,3.0,3,25.0
Stanbic IBTC Balanced Fund,Ethical fund,6-years,2.5,3,25.0
Stanbic IBTC Conservative Fund (Sub Fund),Ethical fund,6-years,3.0,3,25.0
Stanbic IBTC Ethical Fund,Ethical fund,6-years,3.0,3,25.0
Stanbic IBTC Guaranteed Fund,Ethical fund,6-years,3.0,3,25.0
Stanbic IBTC Guaranteed Investment Fund,Ethical fund,6-years,2.5,3,25.0
Stanbic IBTC Imaan Fund,Ethical fund,6-years,3.0,3,25.0
Union Homes REITS,Ethical fund,6-years,3.0,3,25.0
United Capital Balanced Fund,Ethical fund,6-years,2.5,3,25.0
ValuAlliance Value Fund,Ethical fund,6-years,2.5,3,25.0
Valualliance Value Fund,Ethical fund,6-years,3.0,3,25.0
Vantage Balanced Fund,Ethical fund,6-years,3.0,3,25.0
Wealth For Women Fund,Ethical fund,6-years,3.0,3,25.0
Zenith Ethical Fund,Ethical fund,6-years,3.0,3,25.0
AXA Mansard Equity Income Fund,Equity fund,6-years,2.5,3,25.0
Afrinvest Equity Fund,Equity fund,6-years,3.0,3,25.0
Anchoria Equity Fund,Equity fund,6-years,2.5,3,25.0
FBN Nigeria Smart Beta Equity Fund,Equity fund,6-years,3.0,3,25.0
Legacy Equity Fund,Equity fund,6-years,3.0,3,25.0
Meristem Equity Market Fund,Equity fund,6-years,2.5,3,25.0
Pacam Equity Fund,Equity fund,6-years,3.0,3,25.0
Paramount Equity Fund,Equity fund,6-years,2.5,3,25.0
Stanbic IBTC Nigerian Equity Fund,Equity fund,6-years,3.0,3,25.0
Vantage Equity Income Fund,Equity fund,6-years,3.0,3,25.0
Zenith Equity Fund,Equity fund,6-years,2.5,3,25.0
FBN Nigeria Eurobond (USD) Fund - Institutional,Bond fund,6-years,3.0,3,25.0
Legacy Debt(formerly Short Maturity) Fund,Bond fund,6-years,3.0,3,25.0
Nigeria International Debt Fund,Bond fund,6-years,2.5,3,25.0
Nigerian Eurobond Fund,Bond fund,6-years,3.0,3,25.0
Pacam Eurobond Fund,Bond fund,6-years,3.0,3,25.0
Stanbic IBTC Bond Fund,Bond fund,6-years,2.5,3,25.0
United Capital Bond Fund,Bond fund,6-years,2.5,3,25.0
SFS Real Estate Investment Trust Fund,Real Estate fund,6-years,3.0,3,25.0
UPDC Real Estate Investment Fund,Real Estate fund,6-years,3.0,3,25.0
Anchoria Money Market Fund,Cash/Money Market Fund,6-years,1.6500000000000001,2,112.0
Chapel Hill Denham Money Market Fund,Cash/Money Market Fund,6-years,2.25,2,112.0
EDC Money Market ClassA,Cash/Money Market Fund,6-years,2.05,2,112.0
FAAM Money Market Fund,Cash/Money Market Fund,6-years,2.15,2,112.0
First Allay Asset Management Money Market Fund,Cash/Money Market Fund,6-years,2.5,2,112.0
Greenwich PLUS (Money Market FUND),Cash/Money Market Fund,6-years,2.25,2,112.0
Meristem Money Market Fund,Cash/Money Market Fund,6-years,2.4,2,112.0
UBA Money Market Fund,Cash/Money Market Fund,6-years,1.55,2,112.0
Stanbic IBTC Shariah Fixed Income Fund,Income fund,6-years,2.0,2,112.0
